slug	cultivar	price	note	url	image	hybridizer	year	parentage	color	branches	budcount	form	foliagetype	seedlingnum	bloomhabit	fragrance	scapeheight	bloomseason	rebloom	bloomsize	ploidy	sculpting	id
simply-karen	Simply Karen	$25.00		https://daylilies.org/DaylilyDB/detail.php?id=167756	https://www.daylilies.org/DaylilyDB/AHSPhoto/S/SIMPLY KAREN.jpg	Joiner-J.	2011	(sdlg × sdlg)	burnt orange blend above a golden orange throat	3	20	Double 92%	Evergreen	J06-TD-12-JK-18xPM-MAD-195	Diurnal		27 in, (69 cm) 	Early,Rebloom		6.5 in, (17 cm) 	Tetraploid		167756
tar-and-feather	Tar And Feather			https://daylilies.org/DaylilyDB/detail.php?id=46599	https://www.daylilies.org/DaylilyDB/AHSPhoto/T/Tar And Feather.jpg	Kaskel	1999	(sdlg × Isle of Zanzibar)	chrome yellow with black purple eyezone above lime green throat	3	24		Evergreen	97-463	Diurnal		26 in, (66 cm) 	Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		46599
eternal-night	Eternal Night			https://daylilies.org/DaylilyDB/detail.php?id=181561	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/eternalnight.jpg	Salter	2016	(unknown × unknown)	deep rose lavender flower with a very black purple eye and edge				Evergreen	JS0516	Diurnal		29 in, (74 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		181561
the-king-is-coming	The King Is Coming	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=149533	https://www.daylilies.org/DaylilyDB/AHSPhoto/T/The_King_is_Coming.jpg	Carpenter-J.	2004	(Evening Enchantment × Mrs John Cooper)	royal purple with silvery lavender gray watermark and edge above green throat	5	26		Evergreen	T-20-1011	Diurnal	Fragrant	26 in, (66 cm) 	Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		149533
firecracker-finale	Firecracker Finale	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=154911	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FIRECRACKER FINALE.jpg	Stadler	2006	(Highland Lord × Victoria's Secret)	red with amber edge above yellow to green throat	3	15	Double 98%	Semi-Evergreen	Q25-5	Diurnal		24 in, (61 cm) 	Midseason		6 in, (15 cm) 	Tetraploid		154911
legacy-of-style	Legacy Of Style			https://daylilies.org/DaylilyDB/detail.php?id=167747	https://www.daylilies.org/DaylilyDB/AHSPhoto/L/LEGACY OF STYLE.jpg	Joiner	2011	(Savannah Fiesta × sdlg)	red with a tan edge above a green throat	4	30	Double 95%	Evergreen	E06-TD-S.Fiestaxsdlgxsib124	Diurnal		30 in, (76 cm) 	Early,Rebloom		6 in, (15 cm) 	Tetraploid		167747
legro-indian-chief	Legro Indian Chief			https://daylilies.org/DaylilyDB/detail.php?id=164902	https://www.daylilies.org/DaylilyDB/AHSPhoto/L/200-04.jpg	Grovenstein-L.&E.	2010	(Fire and Wind × (Blazing Autumn Sun × (Highland Lord ×  Champagne Chilling)))	red with lighter red midrib and edge slightly darker eye above a yellow throat	3	15	Double 99%	Dormant	200-04	Diurnal		29 in, (74 cm) 	Midseason-Late		5.75 in, (15 cm) 	Tetraploid		164902
cold-dreaming-dawn	Cold Dreaming Dawn			https://daylilies.org/DaylilyDB/detail.php?id=188022		Salter	2019																188022
mark-of-the-king	Mark of the King		Cost 10 sf. 2020 Salter sale Hattiesburg 	https://daylilies.org/DaylilyDB/detail.php?id=187035	https://www.daylilies.org/DaylilyDB/AHSPhoto/M/MarkoftheKing_1535764433.jpg	Salter-E.H.	2018	(unknown × unknown)	Mahogany brown with a large, precise throat pattern of bright yellow and green, small darker eye.				Semi-Evergreen	ES1807	Diurnal		20 in, (50 cm) 	Midseason,Rebloom		3 in, (7 cm) 	Diploid		187035
red-rules	Red Rules			https://daylilies.org/DaylilyDB/detail.php?id=188010		Salter-E.H.	2019																188010
